domain,stimulus,code,ASL_01,ASL_02,ASL_03,ASL_04,ASL_05,ASL_06,ASL_07,ASL_08,ASL_09,ASL_10,ASL_11,ASL_12,ASL_13,BSL_01,BSL_02,BSL_03,BSL_04,BSL_05,BSL_06,BSL_07,BSL_08,BSL_09,BSL_10,BSL_11,BSL_12,BSL_13,BSL_14,BSL_15,CAN_01,CAN_02,CAN_03,CAN_04,CAN_05,CAN_06,CAN_07,CAN_08,CAN_09,CAN_10,CAN_11,CAN_12,DOG_01,DOG_02,DOG_03,DOG_04,DOG_05,DOG_06,DOG_07,DOG_08,DOG_09,DOG_10,DOG_11,DOG_12,DOG_13,ENG_01,ENG_02,ENG_03,ENG_04,ENG_05,ENG_06,ENG_07,ENG_08,ENG_09,ENG_10,ENG_11,ENG_12,ENG_13,ENG_14,ENG_15,ENG_16,ENG_17,FAR_01,FAR_02,FAR_03,FAR_04,FAR_05,FAR_06,FAR_07,FAR_08,FAR_09,FAR_10,FAR_11,FAR_12,FAR_13,KAT_01,KAT_02,KAT_03,KAT_04,KAT_05,KAT_06,KAT_07,KAT_08,KAT_09,KAT_10,KAT_11,KAT_12,KAT_13,KIL_01,KIL_02,KIL_03,KIL_04,KIL_05,KIL_06,KIL_07,KIL_08,KIL_09,KIL_10,KIL_11,KIL_12,KIL_13,KIL_14,KIL_15,KIL_16,KIL_17,KIL_18,KIL_19,KIL_20,KIL_21,KIL_22,KIL_23,KIL_24,KIL_25,KIL_26,KIL_27,KIL_28,KIL_29,KIL_30,KIL_31,KIL_32,KIL_33,KIL_34,KIL_35,KIL_36,KIL_37,KIL_38,KIL_39,KIL_40,KIL_41,KIL_42,KIL_43,KIL_44,KIL_45,KIL_46,KIL_47,KIL_48,KIL_49,KIL_50,KIL_51,KIL_52,KIL_53,KIL_54,LAO_01,LAO_02,LAO_03,LAO_04,LAO_05,LAO_06,LAO_07,LAO_08,LAO_09,LAO_10,LAO_11,LAO_12,LAO_13,LAO_14,LAO_15,LAO_16,LAO_17,LAO_18,MAL_01,MAL_02,MAL_03,MAL_04,MAL_05,MAL_06,MAL_07,MAL_08,MAL_09,MAL_10,MAL_11,MAL_12,MAL_13,MAL_14,MAL_15,MIA_01,MIA_02,MIA_03,MIA_04,MIA_05,MIA_06,MIA_07,MIA_08,MIA_09,MIA_10,MIA_11,MIA_12,SEM_01,SEM_02,SEM_03,SEM_04,SEM_05,SEM_06,SEM_07,SEM_08,SEM_09,SEM_10,SEM_11,SEM_12,SIW_01,SIW_02,SIW_03,SIW_04,SIW_05,SIW_06,SIW_07,SIW_08,SIW_09,SIW_10,SIW_11,SIW_12,SIW_14,SIW_15,SIW_16,SIW_17,TUR_01,TUR_02,TUR_03,TUR_04,TUR_05,TUR_06,TUR_07,TUR_08,TUR_09,TUR_10,TUR_11,TUR_12,TUR_13,TZE_01,TZE_02,TZE_03,TZE_04,TZE_05,TZE_06,TZE_07,TZE_08,TZE_09,TZE_10,TZE_11,TZE_12,TZE_13,UMP_01,UMP_02,UMP_03,UMP_04,UMP_05,UMP_06,UMP_07,UMP_08,UMP_09,UMP_10,UMP_11,UMP_14,UMP_15,YEL_01,YEL_02,YEL_03,YEL_04,YEL_05,YEL_06,YEL_07,YEL_08,YEL_09,YEL_10,YEL_11,YEL_12,YUC_01,YUC_02,YUC_03,YUC_04,YUC_05,YUC_06,YUC_07,YUC_08,YUC_09,YUC_10,YUC_11,YUC_12,YUC_13,YUR_01,YUR_02,YUR_03,YUR_04,YUR_05,YUR_06,YUR_07,YUR_08,YUR_09,YUR_10,YUR_11,YUR_12,YUR_13,YUR_14,YUR_15,ZAP_01,ZAP_02,ZAP_03,ZAP_04,ZAP_05,ZAP_06,ZAP_07,ZAP_12,ZAP_14,ZAP_15,ZAP_16
colour,11,5G 6/10,7,4,8,28,24,5,10,7,5,10,10,10,10,5,20,5,5,10,10,10,20,5,10,10,5,14,5,10,8,4,8,4,4,9,4,8,9,8,13,13,5,21,6,5,5,5,5,5,5,5,9,NA,NA,5,11,17,14,9,12,5,5,15,44,79,25,10,5,5,169,58,11,4,4,10,4,11,11,10,11,4,11,4,10,NA,9,21,NA,23,NA,NA,NA,20,66,44,36,14,12,5,5,9,5,10,5,10,12,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,6,7,11,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,11,9,5,5,5,5,14,6,11,5,11,5,5,11,9,8,8,8,8,8,14,14,8,8,8,3,8,11,0,NA,61,44,67,16,15,6,21,42,NA,4,8,6,6,4,4,NA,6,4,NA,NA,NA,7,8,NA,NA,15,9,13,9,5,5,9,9,11,5,5,9,5,16,40,22,17,3,17,9,8,21,3,6,14,22,28,14,9,26,7,7,7,22,6,6,14,NA,NA,15,8,21,8,8,16,22,15,8,8,8,8,10,4,4,8,7,5,15,9,7,7,9,9,4,8,8,8,8,13,11,11,8,8,8,NA,NA,NA,NA,NA,13,12,13,7,10,12,13,13,7,7,11
colour,12,5YR 2/4,5,18,16,6,5,5,18,33,7,5,5,6,17,5,5,5,20,23,5,26,5,5,19,3,5,5,5,10,8,3,3,3,7,4,7,7,7,3,14,8,6,5,5,6,6,5,5,6,5,5,6,NA,NA,5,19,5,24,14,5,5,5,6,14,5,5,10,5,5,103,9,8,31,8,8,8,8,13,11,8,8,13,8,8,NA,17,10,NA,4,NA,NA,NA,40,56,6,5,24,7,5,12,6,5,5,12,9,12,5,5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,10,8,8,12,15,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,10,6,6,11,8,11,6,11,11,6,11,12,8,3,3,6,6,6,10,0,3,5,10,0,7,29,NA,74,32,182,10,56,45,50,45,NA,4,10,11,13,11,15,NA,8,35,NA,NA,NA,9,22,NA,NA,3,10,9,9,10,10,10,8,10,10,10,4,10,21,18,17,9,6,12,12,6,3,3,6,6,26,14,14,14,14,14,18,31,10,6,11,0,NA,NA,0,0,0,7,0,0,0,0,0,0,0,0,7,5,13,7,11,10,18,11,11,11,14,11,8,47,28,14,8,23,12,9,11,9,12,NA,NA,NA,NA,NA,7,6,8,5,7,5,7,5,7,5,5
colour,13,10PB 8/4,11,6,10,20,27,11,12,16,6,10,11,11,11,5,10,6,7,20,5,5,8,5,10,11,6,10,6,10,9,7,14,7,7,12,7,7,7,7,7,8,5,6,6,5,5,5,5,5,5,5,5,NA,NA,43,16,52,13,11,100,20,8,5,17,44,20,6,11,12,5,8,4,11,8,14,14,0,14,5,14,14,7,12,14,NA,23,7,NA,17,NA,NA,NA,23,27,14,20,11,8,5,8,8,5,5,8,8,8,5,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,12,6,6,6,5,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,8,14,5,5,9,4,8,13,5,4,5,8,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,6,18,NA,5,7,116,30,72,5,52,29,NA,4,6,8,8,6,0,NA,8,8,NA,NA,NA,6,23,NA,NA,12,8,8,4,11,4,4,9,7,9,8,8,4,12,14,6,6,3,3,3,3,3,3,3,6,6,11,14,6,26,6,10,6,10,6,6,36,NA,NA,12,12,12,12,12,20,12,12,12,12,0,12,10,10,22,8,12,10,6,3,3,3,12,3,3,7,7,13,7,7,17,5,7,7,8,NA,NA,NA,NA,NA,15,6,12,9,4,9,9,9,9,9,23
colour,14,10YR 6/12,24,9,24,10,24,6,24,3,6,4,11,6,12,12,16,6,8,27,13,10,32,44,45,3,6,21,11,21,8,9,11,8,11,6,9,9,9,4,5,11,8,5,5,5,8,5,5,6,6,6,6,NA,NA,24,6,83,11,6,18,18,8,21,7,13,9,27,4,6,13,9,15,19,4,8,15,6,7,8,13,4,13,8,8,NA,20,33,NA,7,NA,NA,NA,22,51,29,6,65,6,6,6,6,10,12,8,8,12,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,4,5,6,4,6,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,4,10,16,5,10,4,9,7,4,6,9,10,4,11,17,13,7,8,6,7,6,6,7,7,8,8,7,0,33,NA,10,29,37,51,166,5,26,39,NA,10,13,8,15,11,0,NA,8,16,NA,NA,NA,5,18,NA,NA,5,7,13,11,14,7,6,7,4,11,12,8,6,37,20,29,28,3,3,12,3,3,3,7,3,14,31,14,9,15,15,7,9,6,6,6,7,NA,NA,17,8,0,9,10,18,12,0,8,9,0,10,6,3,19,3,13,10,3,6,10,10,7,10,10,24,7,7,7,12,12,6,7,7,7,NA,NA,NA,NA,NA,12,12,17,10,14,10,14,12,6,6,12
colour,15,5RP 2/8,8,22,6,15,13,6,6,8,6,17,6,10,10,6,10,6,6,16,10,6,8,10,10,10,4,4,6,NA,3,7,9,7,7,12,7,3,7,7,3,7,6,13,5,5,6,5,6,6,6,5,6,NA,NA,42,10,10,6,6,16,19,6,6,13,15,6,6,6,6,6,23,7,15,12,10,14,14,7,14,23,7,8,10,7,NA,20,31,NA,12,NA,NA,NA,25,19,24,9,22,12,6,12,12,12,6,12,6,12,6,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,19,6,14,10,6,13,6,8,NA,NA,NA,NA,NA,NA,NA,NA,4,9,4,6,9,4,9,10,9,4,9,9,9,9,10,13,0,9,3,3,3,10,0,5,3,10,0,12,24,NA,33,39,57,12,64,8,19,60,NA,4,0,8,22,10,0,NA,0,0,NA,NA,NA,14,13,NA,NA,3,3,3,3,10,3,3,3,19,11,6,7,6,48,23,23,8,6,13,12,11,12,4,6,28,25,14,14,7,14,15,7,7,51,6,6,7,NA,NA,10,0,0,0,0,12,0,0,0,0,0,0,7,7,7,5,7,3,7,7,11,18,10,7,7,18,14,8,5,10,16,11,11,9,12,NA,NA,NA,NA,NA,7,13,12,7,10,13,7,12,9,7,12
colour,16,10B 6/10,4,4,4,10,9,13,4,9,4,9,4,4,10,4,13,4,16,9,4,4,15,23,11,8,10,10,5,NA,9,5,9,5,13,9,9,5,5,9,13,13,6,6,5,5,5,5,5,5,6,6,5,NA,NA,4,7,4,4,9,9,7,7,8,7,12,11,7,4,10,9,9,9,4,4,4,9,11,11,4,11,4,31,4,4,NA,15,11,NA,16,NA,NA,NA,23,33,30,26,24,12,4,12,4,4,7,12,12,12,8,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,7,4,6,6,11,4,4,9,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,22,7,4,13,7,4,4,8,8,8,9,8,9,8,5,5,5,5,11,11,5,17,5,5,10,18,NA,12,58,179,15,35,6,11,15,NA,9,NA,4,4,0,0,NA,0,56,NA,NA,NA,7,32,NA,NA,9,7,9,4,4,4,4,4,4,4,4,7,4,34,17,18,6,3,27,9,22,14,3,12,24,22,31,15,9,13,15,7,7,9,4,6,7,NA,NA,21,10,0,14,13,10,17,17,10,14,15,14,8,5,11,5,8,5,5,5,10,5,9,10,10,8,8,9,8,8,13,8,9,7,9,NA,NA,NA,NA,NA,11,15,10,11,11,5,15,11,7,5,11
colour,17,10P 2/6,22,6,6,10,17,6,6,14,6,6,10,10,10,6,18,6,6,10,6,24,36,21,37,10,10,4,6,NA,6,7,3,6,7,7,7,3,7,7,3,7,6,5,5,5,6,5,6,6,6,6,6,NA,NA,37,16,20,6,10,10,19,10,6,18,58,18,11,5,11,6,22,14,15,12,10,8,11,15,7,8,8,15,10,7,NA,11,43,NA,8,NA,NA,NA,15,63,NA,5,18,7,6,7,4,12,10,12,12,12,6,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,8,8,11,10,6,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,9,4,13,10,9,4,9,9,9,9,9,0,0,5,3,3,3,10,0,3,5,10,0,14,16,NA,34,28,33,26,26,21,49,40,NA,8,0,8,13,9,0,NA,0,0,NA,NA,NA,14,29,NA,NA,3,5,7,10,3,3,10,7,3,5,6,7,3,27,34,17,9,11,8,12,6,3,3,11,11,27,15,15,14,14,15,14,11,10,6,6,21,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,7,5,7,5,7,10,7,10,7,7,10,7,10,10,7,8,8,10,9,9,13,4,19,NA,NA,NA,NA,NA,9,7,10,14,14,13,7,12,9,7,10
colour,18,10G 8/6,5,10,33,15,21,5,21,11,5,16,4,10,5,12,9,5,6,26,10,19,13,27,23,10,10,10,10,10,16,9,8,4,8,15,8,9,5,8,13,13,5,6,5,5,5,5,5,6,5,5,5,NA,NA,10,12,12,10,10,56,15,17,25,17,48,36,17,13,10,20,97,11,4,4,4,11,11,14,4,15,11,11,4,8,NA,15,17,NA,8,NA,NA,NA,7,82,65,54,19,12,5,6,9,5,10,12,12,12,5,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,6,6,4,6,11,10,11,4,11,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,11,5,9,9,5,5,9,9,9,10,13,14,8,14,8,8,14,14,8,8,8,10,8,10,15,NA,36,18,60,30,51,28,73,26,NA,4,6,6,6,4,26,NA,6,12,NA,NA,NA,7,6,NA,NA,9,12,9,5,9,9,9,9,9,8,8,9,5,42,9,15,11,3,14,12,5,6,3,12,15,24,15,15,7,7,15,7,9,10,6,6,7,NA,NA,15,8,0,42,8,16,15,0,0,8,8,8,8,4,9,8,7,10,4,7,4,7,9,9,9,8,8,8,8,13,13,13,8,8,9,NA,NA,NA,NA,NA,13,7,13,7,12,13,14,16,7,7,13
colour,19,5GY 8/10,14,9,9,9,10,5,11,4,5,18,10,10,4,6,9,9,23,26,23,22,14,28,9,4,10,3,3,3,8,8,24,13,18,8,8,8,8,8,16,16,8,5,6,5,5,5,8,5,6,5,6,NA,NA,17,4,16,14,8,22,18,9,15,48,10,17,21,5,14,10,16,7,6,4,4,11,15,11,11,11,4,13,10,4,NA,18,20,NA,19,NA,NA,NA,20,25,81,24,42,12,6,12,12,5,12,6,10,6,9,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,11,15,6,6,6,6,6,10,NA,NA,NA,NA,NA,NA,NA,NA,9,16,5,5,16,5,11,16,13,5,11,10,16,11,15,14,14,8,8,8,8,8,10,8,12,8,8,16,40,NA,28,32,61,61,12,47,16,74,NA,4,21,15,7,4,0,NA,6,10,NA,NA,NA,7,9,NA,NA,9,16,9,12,11,5,11,12,11,5,11,15,4,39,18,14,12,3,15,12,3,17,3,20,17,18,14,15,7,7,15,7,7,15,6,12,7,NA,NA,35,15,0,20,0,0,15,0,0,9,8,0,6,9,10,4,7,12,3,9,7,10,3,12,7,13,7,9,12,8,12,11,13,12,10,NA,NA,NA,NA,NA,12,14,7,6,13,7,7,13,12,6,15
colour,20,5R 4/14,3,3,8,8,3,3,3,11,3,5,3,3,3,3,3,3,3,3,3,3,7,3,3,3,5,6,6,14,9,5,9,8,9,5,9,5,5,5,9,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,3,3,3,3,4,3,3,3,3,8,3,10,3,3,3,64,8,7,7,7,7,7,7,7,7,13,7,44,7,7,NA,19,12,NA,3,NA,NA,NA,10,5,17,3,8,7,3,7,7,7,7,7,7,7,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,6,6,6,6,6,6,6,11,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,17,5,5,10,5,5,5,10,5,5,10,11,10,4,4,4,4,4,4,4,4,4,4,4,10,15,NA,10,12,72,5,24,5,44,26,NA,6,8,8,8,6,6,NA,8,8,NA,NA,NA,5,17,NA,NA,9,5,5,11,9,5,11,7,7,12,12,11,7,8,4,25,4,4,4,7,4,4,4,4,7,4,9,9,9,9,22,9,9,9,9,7,9,NA,NA,8,6,6,8,8,16,8,8,6,6,8,8,4,4,7,4,4,4,4,4,4,4,4,4,9,9,9,9,9,7,9,9,9,9,9,NA,NA,NA,NA,NA,6,6,17,6,22,6,6,5,6,6,6
colour,21,5YR 8/8,27,15,5,5,11,11,11,14,17,5,5,11,5,28,12,6,6,28,6,6,11,27,90,11,23,5,5,9,0,4,6,6,18,4,10,4,6,10,10,10,8,4,6,6,5,5,6,6,6,5,6,NA,NA,6,5,24,11,5,5,38,5,5,5,5,5,5,9,12,11,18,15,8,8,15,14,8,8,8,14,4,0,7,7,NA,20,96,NA,5,NA,NA,NA,10,8,8,28,15,12,4,12,10,12,12,12,6,12,8,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,10,4,4,6,5,4,4,9,11,NA,NA,NA,NA,NA,NA,NA,NA,8,8,15,5,6,4,13,8,4,5,8,4,8,10,12,14,0,7,6,7,6,6,13,7,8,7,7,11,21,NA,25,83,49,31,37,37,61,33,NA,6,8,0,7,6,9,NA,0,22,NA,NA,NA,8,17,NA,NA,12,11,15,5,8,8,9,10,7,7,8,9,7,35,15,20,15,10,11,12,6,25,3,18,24,28,6,15,7,21,9,13,7,10,6,7,7,NA,NA,11,15,0,0,13,0,15,0,0,8,9,0,6,10,8,3,11,10,3,15,13,7,7,10,10,12,12,9,12,14,10,23,7,13,12,NA,NA,NA,NA,NA,12,5,14,10,20,16,9,6,9,10,9
colour,22,10Y 4/6,7,24,25,9,19,5,5,18,5,12,23,9,11,5,15,5,7,9,10,13,21,27,14,14,8,NA,8,16,8,8,8,8,8,8,4,11,8,4,11,8,6,6,5,6,5,6,5,5,5,18,6,NA,NA,13,11,19,17,5,10,5,19,5,39,62,48,10,5,11,10,28,6,6,4,10,6,0,11,8,17,8,11,10,4,NA,19,22,NA,13,NA,NA,NA,33,16,7,24,15,12,5,12,12,12,9,12,12,12,9,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,6,8,11,9,9,6,10,11,NA,NA,NA,NA,NA,NA,NA,NA,10,10,5,4,10,5,10,8,10,5,10,10,10,5,10,13,3,3,8,6,8,14,14,5,8,14,8,24,29,NA,25,10,37,25,24,25,43,11,NA,4,6,19,10,15,13,NA,6,15,NA,NA,NA,10,6,NA,NA,9,12,8,9,12,5,5,9,12,4,11,9,5,16,9,8,29,28,14,12,3,6,3,3,25,20,14,15,14,21,15,18,27,15,6,7,7,NA,NA,8,8,0,8,0,8,19,0,0,0,0,0,10,4,7,4,7,7,4,3,4,11,7,4,7,10,15,13,4,22,14,13,8,9,9,NA,NA,NA,NA,NA,13,13,4,28,13,11,15,13,7,24,14
colour,23,10BG 2/6,4,8,15,8,14,4,4,8,4,18,10,8,8,4,8,4,15,12,8,12,8,20,30,4,9,13,9,9,9,9,9,5,9,8,8,5,5,9,5,9,6,5,5,5,6,5,6,6,6,5,6,NA,NA,10,6,51,4,8,4,4,4,4,8,8,11,8,8,26,75,18,11,11,4,7,4,11,9,4,11,11,11,11,4,NA,8,8,NA,9,NA,NA,NA,29,26,38,33,25,5,5,12,9,4,12,7,9,12,8,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,4,9,6,4,6,4,8,4,NA,NA,NA,NA,NA,NA,NA,NA,13,4,4,5,10,4,13,9,10,5,8,9,9,9,9,5,14,3,5,5,5,6,5,13,5,5,8,10,11,NA,17,51,105,29,39,30,16,13,NA,4,4,4,NA,11,0,NA,0,0,NA,NA,NA,9,9,NA,NA,8,16,10,12,3,3,8,9,4,5,8,5,8,12,25,37,9,3,18,12,7,13,6,14,22,21,14,14,9,14,15,7,14,27,4,13,7,NA,NA,21,10,0,14,9,18,21,0,0,14,0,0,7,4,12,5,8,8,5,4,7,15,9,13,5,13,8,13,8,8,13,11,8,7,10,NA,NA,NA,NA,NA,5,5,8,5,5,11,12,6,14,5,11
colour,24,10B 8/6,16,9,16,9,9,4,4,16,9,11,9,8,9,4,18,18,9,12,9,9,9,39,16,7,6,12,6,6,9,9,9,9,9,9,9,9,9,9,9,9,6,6,5,5,6,6,8,6,6,6,6,NA,NA,7,8,7,13,8,9,4,7,9,16,7,13,8,9,12,9,26,8,11,4,4,4,11,22,11,11,11,11,11,4,NA,15,18,NA,15,NA,NA,NA,20,22,53,74,4,12,4,12,4,10,7,12,12,8,9,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,7,11,11,7,5,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,4,10,8,8,10,4,4,8,8,8,8,8,24,10,5,5,5,10,11,11,5,11,4,5,12,24,NA,30,36,28,17,62,17,23,11,NA,11,5,4,8,0,9,NA,0,24,NA,NA,NA,7,0,NA,NA,9,11,10,10,9,9,4,8,8,4,8,8,4,10,25,12,11,27,21,18,31,20,3,13,12,26,16,15,9,15,15,7,16,7,12,7,7,NA,NA,24,10,0,0,0,18,17,0,0,14,0,0,8,5,10,8,10,10,10,5,5,10,8,14,10,13,12,13,8,12,13,12,12,7,8,NA,NA,NA,NA,NA,13,11,11,15,11,10,15,14,13,7,17
colour,25,10R 6/14,26,6,26,8,11,6,6,8,6,6,12,6,9,6,6,6,6,18,6,6,10,24,6,6,4,4,4,4,6,6,6,11,11,10,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,NA,NA,6,12,17,12,5,17,6,6,6,55,6,12,10,6,11,6,12,8,15,7,8,8,15,8,8,8,14,13,8,8,NA,22,18,NA,5,NA,NA,NA,44,18,23,12,23,7,6,7,7,7,12,7,12,7,11,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,4,4,11,4,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,10,4,4,4,4,4,4,9,9,4,4,6,12,7,7,6,7,6,6,10,7,10,7,7,9,17,NA,55,26,124,28,26,5,5,10,NA,6,12,18,8,6,10,NA,8,11,NA,NA,NA,5,6,NA,NA,12,11,11,9,8,8,7,7,5,5,11,10,7,66,16,15,15,4,16,4,4,6,3,10,10,22,10,15,9,12,15,18,9,29,9,7,7,NA,NA,0,13,0,0,0,0,15,0,0,6,0,0,7,10,3,10,13,7,3,7,10,7,7,14,10,9,15,9,9,12,23,9,7,7,12,NA,NA,NA,NA,NA,12,10,16,10,12,12,10,24,10,6,8
colour,26,5RP 8/6,9,4,9,4,4,4,4,6,4,6,4,9,9,4,4,4,4,23,4,4,12,16,8,4,8,8,9,NA,9,9,9,9,9,13,9,9,9,9,9,14,5,6,5,6,12,6,6,6,12,6,6,NA,NA,4,4,4,4,9,9,4,4,4,15,4,4,4,4,17,4,8,7,7,14,7,14,14,14,7,7,7,14,13,7,NA,8,39,NA,6,NA,NA,NA,14,8,24,18,13,12,12,12,5,4,12,12,12,12,12,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,4,9,11,9,5,8,4,11,NA,NA,NA,NA,NA,NA,NA,NA,14,18,10,4,10,14,18,14,10,10,14,4,4,14,10,13,0,12,10,10,10,12,10,7,7,14,0,18,29,NA,55,12,52,4,70,49,22,15,NA,NA,10,8,8,6,6,NA,8,31,NA,NA,NA,5,13,NA,NA,7,5,10,5,9,5,5,5,9,8,9,5,5,43,10,8,24,17,40,19,3,14,6,17,20,20,5,15,9,12,15,7,9,10,6,15,7,NA,NA,0,0,0,0,0,0,15,0,0,0,0,0,7,7,12,7,12,12,7,10,7,12,10,16,12,9,NA,13,7,13,13,14,12,7,8,NA,NA,NA,NA,NA,15,7,12,5,5,11,5,7,8,5,11
colour,27,5RP 6/12,9,12,41,8,15,9,8,12,8,15,8,24,9,11,10,4,4,10,7,NA,8,11,10,8,6,6,9,NA,13,13,14,13,9,9,9,9,19,7,9,9,6,5,5,5,5,5,5,5,5,5,6,NA,NA,7,8,5,10,8,4,4,7,10,10,7,17,17,8,10,28,19,14,14,7,14,14,7,14,14,14,14,14,12,7,NA,19,45,NA,13,NA,NA,NA,13,45,8,7,2,12,6,5,6,12,12,7,12,12,8,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,8,4,11,4,4,4,8,5,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,14,15,10,16,10,10,10,10,9,4,15,16,10,10,4,10,4,4,10,NA,4,4,4,4,16,29,NA,13,46,116,37,39,77,17,85,NA,4,8,8,6,6,8,NA,8,20,NA,NA,NA,5,6,NA,NA,5,7,5,7,9,5,9,9,10,5,5,9,5,51,20,24,9,19,21,4,11,19,4,44,13,25,19,14,9,12,22,7,7,9,6,7,7,NA,NA,15,13,0,22,8,12,15,15,8,0,0,0,11,21,7,10,7,10,14,11,7,21,11,14,11,10,NA,14,7,14,14,9,13,9,9,NA,NA,NA,NA,NA,9,9,12,5,10,11,13,10,12,5,9
