"Language","domain","Stimulus.code","mean","mean.log","simpson.diversityIndex"
"ASL","colour","colour.10B 2/6",12.1538461538462,2.36569852063957,0.705128205128205
"ASL","colour","colour.10B 4/10",6.92307692307692,1.92511906024209,1
"ASL","colour","colour.10B 6/10",6.76923076923077,1.89137364407883,1
"ASL","colour","colour.10B 8/6",9.92307692307692,2.26987691744435,0.846153846153846
"ASL","colour","colour.10BG 2/6",8.69230769230769,2.10775192824507,0.717948717948718
"ASL","colour","colour.10BG 4/6",12.6153846153846,2.42538248351798,0.128205128205128
"ASL","colour","colour.10BG 6/8",7.61538461538461,1.98475381793372,0.371794871794872
"ASL","colour","colour.10BG 8/4",14.6153846153846,2.67361694809741,0.474358974358974
"ASL","colour","colour.10G 2/6",10.6153846153846,2.29708761772605,0.58974358974359
"ASL","colour","colour.10G 4/10",6.76923076923077,1.83129855339505,0.846153846153846
"ASL","colour","colour.10G 6/10",9.30769230769231,2.10544657947305,1
"ASL","colour","colour.10G 8/6",12.3846153846154,2.35846300225816,0.461538461538462
"ASL","colour","colour.10GY 2/4",12.6923076923077,2.46740538252914,0.474358974358974
"ASL","colour","colour.10GY 4/8",7.69230769230769,1.98850319019023,0.846153846153846
"ASL","colour","colour.10GY 6/12",11.4615384615385,2.40672207256012,1
"ASL","colour","colour.10GY 8/8",10,2.18341486619466,1
"ASL","colour","colour.10P 2/6",9.92307692307692,2.25278299458691,1
"ASL","colour","colour.10P 4/12",6.53846153846154,1.92802429294334,1
"ASL","colour","colour.10P 6/10",6.53846153846154,1.8156909131078,0.474358974358974
"ASL","colour","colour.10P 8/6",8.69230769230769,2.0960592788397,1
"ASL","colour","colour.10PB 2/10",7.84615384615385,2.07476690239277,1
"ASL","colour","colour.10PB 4/12",10.5384615384615,2.20824165241004,0.846153846153846
"ASL","colour","colour.10PB 6/10",12.1538461538462,2.46961202379632,1
"ASL","colour","colour.10PB 8/4",12.4615384615385,2.48629153546214,0.576923076923077
"ASL","colour","colour.10R 2/6",8.69230769230769,2.11938209784838,0.576923076923077
"ASL","colour","colour.10R 4/12",8.07692307692308,2.00098792432999,0.474358974358974
"ASL","colour","colour.10R 6/14",10.4615384615385,2.25266171789772,0.58974358974359
"ASL","colour","colour.10R 8/6",9.46153846153846,2.16073355934885,0.179487179487179
"ASL","colour","colour.10RP 2/8",12.1538461538462,2.2448238360088,0.128205128205128
"ASL","colour","colour.10RP 4/14",8.46153846153846,2.07377633615053,0.294871794871795
"ASL","colour","colour.10RP 6/12",8.69230769230769,2.07916173017253,0.705128205128205
"ASL","colour","colour.10RP 8/6",5,1.64986712110216,0.705128205128205
"ASL","colour","colour.10Y 2/2",5.69230769230769,1.77931736586828,0.846153846153846
"ASL","colour","colour.10Y 4/6",13.2307692307692,2.46787259712824,1
"ASL","colour","colour.10Y 6/10",10.8461538461538,2.32296846462419,1
"ASL","colour","colour.10Y 8/12",13.5384615384615,2.50632443392523,0.474358974358974
"ASL","colour","colour.10YR 2/2",9.53846153846154,2.15207801817699,0.487179487179487
"ASL","colour","colour.10YR 4/8",8.61538461538461,2.13834707776786,0.705128205128205
"ASL","colour","colour.10YR 6/12",12.5384615384615,2.36443708474051,0.0897435897435897
